Row Data #,Volume (mL),E(pH)
1,0,2.023
2,0.01,2.024
3,0.049,2.031
4,0.124,2.046
5,0.262,2.077
6,0.496,2.132
7,0.85,2.253
8,1.25,2.424
9,1.648,2.7
10,1.87,2.999
11,1.914,3.093
12,1.993,3.365
13,2.017,3.495
14,2.048,3.705
15,2.073,4.011
16,2.086,4.266
17,2.096,4.518
18,2.106,4.796
19,2.116,5.071
20,2.126,5.28
21,2.136,5.493
22,2.146,5.604
23,2.156,5.738
24,2.167,5.846
25,2.18,5.999
26,2.194,6.109
27,2.211,6.228
28,2.231,6.36
29,2.248,6.444
30,2.268,6.539
31,2.293,6.642
32,2.303,6.68
33,2.328,6.74
34,2.365,6.854
35,2.377,6.884
36,2.414,6.97
37,2.464,7.069
38,2.478,7.097
39,2.528,7.171
40,2.598,7.26
41,2.689,7.331
42,2.818,7.476
43,2.852,7.511
44,2.981,7.572
45,3.172,7.703
46,3.283,7.763
47,3.474,7.825
48,3.754,7.944
49,3.847,7.974
50,4.127,8.034
51,4.527,8.147
52,4.927,8.238
53,5.327,8.297
54,5.727,8.395
55,6.102,8.442
56,6.502,8.497
57,6.902,8.563
58,7.302,8.611
59,7.702,8.661
60,8.102,8.712
61,8.502,8.763
62,8.902,8.807
63,9.302,8.864
64,9.702,8.909
65,10.102,8.956
66,10.502,8.997
67,10.902,9.048
68,11.302,9.095
69,11.702,9.145
70,12.102,9.196
71,12.502,9.25
72,12.902,9.306
73,13.302,9.354
74,13.702,9.412
75,14.102,9.495
76,14.502,9.552
77,14.902,9.638
78,15.302,9.736
79,15.702,9.857
80,15.98,9.937
81,16.38,10.085
82,16.78,10.271
83,16.875,10.33
84,17.151,10.456
85,17.469,10.643
86,17.76,10.808
87,18.055,10.958
88,18.297,11.027
89,18.592,11.119
90,18.975,11.208
91,19.375,11.304
92,19.775,11.363
93,20,11.396
