Volume (mL),E(pH)
0.00,1.30
0.01,1.30
0.05,1.30
0.12,1.29
0.27,1.30
0.58,1.30
0.98,1.32
1.38,1.34
1.78,1.35
2.18,1.38
2.58,1.39
2.98,1.41
3.38,1.43
3.78,1.46
4.18,1.48
4.58,1.50
4.98,1.53
5.38,1.55
5.78,1.59
6.18,1.62
6.58,1.66
6.98,1.69
7.38,1.73
7.78,1.76
8.18,1.82
8.58,1.87
8.98,1.92
9.38,1.99
9.78,2.06
10.18,2.16
10.58,2.27
10.98,2.44
11.38,2.70
11.47,2.81
11.63,3.00
11.77,3.51
11.78,3.65
11.79,3.74
11.81,3.99
11.82,4.22
11.83,4.60
11.84,5.07
11.85,5.51
11.86,5.78
11.87,5.98
11.88,6.15
11.89,6.28
11.90,6.39
11.91,6.48
11.92,6.57
11.93,6.64
11.94,6.72
11.96,6.82
11.97,6.88
11.98,6.94
12.00,7.01
12.03,7.09
12.06,7.19
12.08,7.24
12.11,7.32
12.14,7.39
12.17,7.45
12.21,7.50
12.26,7.58
12.29,7.62
12.35,7.69
12.43,7.77
12.54,7.86
12.69,7.97
12.83,8.06
12.98,8.14
13.19,8.24
13.48,8.36
13.83,8.48
14.23,8.59
14.63,8.69
15.03,8.79
15.43,8.88
15.83,8.96
16.23,9.04
16.63,9.11
17.03,9.18
17.43,9.26
17.83,9.34
18.23,9.41
18.63,9.49
19.03,9.59
19.43,9.67
19.83,9.77
20.00,9.81
20.01,9.81
20.05,9.81
20.13,9.83
20.26,9.87
20.50,9.93
20.86,10.04
21.26,10.18
21.66,10.37
21.75,10.41
22.13,10.65
22.32,10.80
22.57,11.04
22.74,11.24
22.89,11.40
23.04,11.54
23.20,11.65
23.41,11.79
23.65,11.90
23.96,12.05
24.31,12.15
24.71,12.26
25.11,12.33
25.51,12.40
25.91,12.46
26.31,12.51
26.71,12.55
27.11,12.59
27.51,12.63
27.91,12.66
28.31,12.69
28.71,12.71
29.11,12.74
29.51,12.77
29.91,12.79
30.31,12.81
30.71,12.83
31.11,12.85
31.51,12.86
31.91,12.88
32.31,12.90
32.71,12.91
33.11,12.92
33.51,12.94
33.91,12.95
34.31,12.96
34.71,12.97
35.11,12.98
35.51,12.99
35.91,13.00
36.31,13.01
36.71,13.03
37.11,13.03
37.51,13.04
37.91,13.05
38.31,13.06
38.71,13.07
39.11,13.08
39.51,13.09
39.91,13.10
40.00,13.10
