Row Data #,Volume (mL),E(pH)
1,0,1.081
2,0.01,1.081
3,0.049,1.081
4,0.128,1.082
5,0.285,1.085
6,0.596,1.092
7,0.996,1.102
8,1.396,1.113
9,1.796,1.123
10,2.196,1.136
11,2.596,1.147
12,2.996,1.158
13,3.396,1.168
14,3.796,1.182
15,4.196,1.195
16,4.596,1.208
17,4.996,1.222
18,5.396,1.234
19,5.796,1.251
20,6.196,1.266
21,6.596,1.28
22,6.996,1.297
23,7.396,1.314
24,7.796,1.333
25,8.196,1.349
26,8.596,1.368
27,8.996,1.387
28,9.396,1.408
29,9.796,1.426
30,10.196,1.451
31,10.596,1.473
32,10.996,1.498
33,11.396,1.523
34,11.796,1.548
35,12.196,1.577
36,12.596,1.609
37,12.996,1.641
38,13.396,1.675
39,13.796,1.709
40,14.196,1.744
41,14.596,1.796
42,14.996,1.846
43,15.396,1.902
44,15.796,1.964
45,16.196,2.038
46,16.596,2.127
47,16.996,2.239
48,17.396,2.383
49,17.796,2.608
50,18.099,2.887
51,18.284,3.356
52,18.351,3.752
53,18.379,4.228
54,18.389,4.582
55,18.399,5.113
56,18.409,5.582
57,18.419,5.882
58,18.429,6.082
59,18.439,6.236
60,18.449,6.372
61,18.459,6.477
62,18.469,6.564
63,18.479,6.641
64,18.489,6.706
65,18.499,6.763
66,18.513,6.837
67,18.526,6.894
68,18.54,6.922
69,18.564,7.033
70,18.575,7.07
71,18.599,7.139
72,18.633,7.22
73,18.653,7.263
74,18.687,7.325
75,18.737,7.404
76,18.806,7.495
77,18.896,7.591
78,18.951,7.644
79,19.041,7.716
80,19.167,7.803
81,19.334,7.896
82,19.442,7.949
83,19.609,8.011
84,19.732,8.022
85,19.899,8.033
86,20,8.039
87,20.2,8.127
88,20.21,8.121
89,20.247,8.116
90,20.319,8.115
91,20.463,8.117
92,20.748,8.126
93,21.148,8.138
94,21.548,8.157
95,21.948,8.173
96,22.348,8.192
97,22.748,8.207
98,23.148,8.231
99,23.548,8.249
100,23.948,8.272
101,24.348,8.294
102,24.748,8.321
103,25.148,8.348
104,25.548,8.375
105,25.948,8.403
106,26.348,8.434
107,26.748,8.469
108,27.148,8.51
109,27.548,8.549
110,27.948,8.596
111,28.348,8.647
112,28.748,8.698
113,29.148,8.762
114,29.548,8.821
115,29.948,8.922
116,30.348,9.021
117,30.748,9.164
118,31.148,9.351
119,31.512,9.614
120,31.748,9.866
121,31.908,10.075
122,32.038,10.256
123,32.16,10.409
124,32.289,10.551
125,32.43,10.676
126,32.592,10.789
127,32.788,10.899
128,33.026,11.003
129,33.322,11.096
130,33.705,11.21
131,34.105,11.291
132,34.505,11.366
133,34.905,11.428
134,35.305,11.481
135,35.705,11.523
136,36.105,11.56
137,36.505,11.603
138,36.905,11.634
139,37.305,11.664
140,37.705,11.693
141,38.105,11.722
142,38.505,11.745
143,38.905,11.769
144,39.305,11.789
145,39.705,11.81
146,40.105,11.828
147,40.2,11.835
