Row Data #,Volume (mL),E(pH)
1,0,1.277
2,0.01,1.283
3,0.02,1.29
4,0.039,1.296
5,0.076,1.304
6,0.146,1.311
7,0.282,1.323
8,0.537,1.338
9,0.937,1.388
10,1.337,1.438
11,1.737,1.463
12,2.137,1.495
13,2.537,1.583
14,2.937,1.653
15,3.337,1.725
16,3.737,1.783
17,4.137,1.894
18,4.537,2.005
19,4.937,2.156
20,5.28,2.331
21,5.421,2.441
22,5.639,2.66
23,5.791,2.931
24,5.855,3.127
25,5.885,3.273
26,5.92,3.501
27,5.932,3.625
28,5.948,3.856
29,5.958,4.066
30,5.968,4.397
31,5.978,4.765
32,5.988,5.053
33,5.998,5.25
34,6.008,5.4
35,6.018,5.512
36,6.028,5.599
37,6.038,5.679
38,6.048,5.746
39,6.058,5.783
40,6.068,5.824
41,6.082,5.911
42,6.092,5.951
43,6.106,5.996
44,6.128,6.055
45,6.16,6.155
46,6.172,6.186
47,6.204,6.258
48,6.233,6.286
49,6.265,6.369
50,6.291,6.408
51,6.323,6.446
52,6.376,6.507
53,6.454,6.593
54,6.558,6.672
55,6.7,6.783
56,6.872,6.86
57,7.109,6.984
58,7.384,7.1
59,7.53,7.146
60,7.805,7.232
61,7.971,7.265
62,8.246,7.342
63,8.493,7.38
64,8.768,7.427
65,9.168,7.518
66,9.568,7.568
67,9.968,7.615
68,10.368,7.697
69,10.768,7.739
70,11.168,7.802
71,11.568,7.848
72,11.968,7.902
73,12.368,7.934
74,12.768,7.971
75,13.168,8.02
76,13.568,8.075
77,13.968,8.114
78,14.368,8.156
79,14.768,8.191
80,15.168,8.242
81,15.568,8.278
82,15.968,8.325
83,16.368,8.376
84,16.768,8.424
85,17.168,8.462
86,17.568,8.505
87,17.968,8.584
88,18.368,8.631
89,18.768,8.675
90,19.168,8.762
91,19.515,8.805
92,19.915,8.874
93,20,8.919
95,20.01,8.924
96,20.048,8.929
97,20.123,8.94
98,20.265,8.971
99,20.506,9.011
100,20.897,9.108
101,21.297,9.246
102,21.539,9.363
103,21.685,9.423
104,22.038,9.641
105,22.174,9.776
106,22.346,9.945
107,22.378,10.002
108,22.473,10.094
109,22.596,10.239
110,22.729,10.443
111,22.829,10.542
112,22.94,10.66
113,22.994,10.705
114,23.105,10.763
115,23.271,10.867
116,23.364,10.914
117,23.53,10.99
118,23.76,11.063
119,24.083,11.188
120,24.456,11.26
121,24.856,11.361
122,25.256,11.41
123,25.656,11.455
124,26.056,11.522
125,26.456,11.561
126,26.856,11.588
127,27.256,11.635
128,27.656,11.677
129,28.056,11.699
130,28.456,11.723
131,28.856,11.74
132,29.256,11.764
133,29.656,11.789
134,30.056,11.813
135,30.456,11.83
136,30.856,11.856
137,31.256,11.869
138,31.656,11.881
139,32.056,11.895
140,32.456,11.909
141,32.856,11.924
142,33.256,11.941
143,33.656,11.954
144,34.056,11.964
145,34.456,11.971
146,34.856,11.989
147,35.256,12.001
148,35.656,12.01
149,36.056,12.018
150,36.456,12.024
151,36.856,12.034
152,37.256,12.045
153,37.656,12.054
154,38.056,12.06
155,38.456,12.068
156,38.856,12.074
157,39.256,12.083
158,39.656,12.092
159,40,12.097
