Row Data #,Volume (mL),E(pH)
1,0,2.945
2,0.01,2.947
3,0.049,2.972
4,0.117,3.024
5,0.221,3.095
6,0.368,3.202
7,0.549,3.578
8,0.559,3.599
9,0.599,3.732
10,0.65,3.923
11,0.695,4.265
12,0.705,4.394
13,0.715,4.511
14,0.725,4.629
15,0.738,4.798
16,0.751,4.967
17,0.764,5.098
18,0.774,5.204
19,0.787,5.297
20,0.797,5.369
21,0.81,5.455
22,0.82,5.462
23,0.833,5.563
24,0.843,5.626
25,0.853,5.638
26,0.866,5.715
27,0.876,5.775
28,0.887,5.817
29,0.897,5.854
30,0.908,5.881
31,0.921,5.931
32,0.931,5.938
33,0.944,5.996
34,0.954,6.006
35,0.967,6.06
36,0.977,6.072
37,0.99,6.123
38,1,6.13
39,1.013,6.18
40,1.023,6.189
41,1.036,6.241
42,1.046,6.249
43,1.059,6.288
44,1.069,6.296
45,1.082,6.306
46,1.106,6.373
47,1.116,6.407
48,1.14,6.415
49,1.187,6.499
50,1.197,6.546
51,1.229,6.597
52,1.265,6.645
53,1.275,6.655
54,1.311,6.714
55,1.321,6.754
56,1.353,6.759
57,1.389,6.825
58,1.409,6.867
59,1.421,6.874
60,1.457,6.886
61,1.525,6.97
62,1.537,7.012
63,1.58,7.021
64,1.628,7.089
65,1.646,7.108
66,1.694,7.151
67,1.771,7.218
68,1.804,7.261
69,1.832,7.297
70,1.909,7.341
71,1.933,7.351
72,2.01,7.412
73,2.038,7.453
74,2.115,7.461
75,2.264,7.572
76,2.29,7.631
77,2.32,7.668
78,2.359,7.69
79,2.434,7.738
80,2.456,7.766
81,2.531,7.773
82,2.675,7.873
83,2.711,7.934
84,2.742,7.942
85,2.843,8.012
86,2.875,8.063
87,2.934,8.072
88,3.035,8.154
89,3.06,8.2
90,3.153,8.257
91,3.188,8.303
92,3.232,8.33
93,3.325,8.386
94,3.368,8.437
95,3.411,8.481
96,3.443,8.515
97,3.536,8.577
98,3.56,8.613
99,3.653,8.677
100,3.689,8.733
101,3.726,8.771
102,3.819,8.845
103,3.852,8.894
104,3.897,8.947
105,3.933,8.993
106,4.026,9.078
107,4.051,9.121
108,4.144,9.212
109,4.179,9.271
110,4.226,9.332
111,4.291,9.392
112,4.384,9.502
113,4.401,9.551
114,4.46,9.627
115,4.541,9.714
116,4.649,9.846
117,4.771,10.001
118,4.899,10.12
119,4.921,10.158
120,5.009,10.214
121,5.156,10.344
122,5.323,10.445
123,5.39,10.486
124,5.557,10.542
125,5.808,10.64
126,6.128,10.715
127,6.528,10.88
128,6.736,10.916
129,7.136,11.001
130,7.509,11.057
131,7.909,11.094
132,8.309,11.168
133,8.709,11.204
134,9.109,11.239
135,9.509,11.287
136,9.909,11.309
137,10.309,11.339
138,10.709,11.37
139,11.109,11.393
140,11.509,11.425
141,11.909,11.447
142,12.309,11.469
143,12.709,11.489
144,13.109,11.506
145,13.509,11.522
146,13.909,11.543
147,14.309,11.561
148,14.709,11.575
149,15.109,11.59
150,15.509,11.606
151,15.909,11.619
152,16.309,11.633
153,16.709,11.645
154,17.109,11.661
155,17.509,11.671
156,17.909,11.684
157,18.309,11.696
158,18.709,11.703
159,19.109,11.716
160,19.509,11.723
161,19.909,11.737
162,20,11.739
