Row Data #,Volume (mL),E(pH)
1,0,1.383
2,0.01,1.388
3,0.047,1.389
4,0.122,1.391
5,0.27,1.392
6,0.566,1.396
7,0.966,1.402
8,1.366,1.41
9,1.766,1.42
10,2.166,1.431
11,2.566,1.44
12,2.966,1.449
13,3.366,1.462
14,3.766,1.476
15,4.166,1.491
16,4.566,1.499
17,4.966,1.514
18,5.366,1.528
19,5.766,1.54
20,6.166,1.551
21,6.566,1.569
22,6.966,1.58
23,7.366,1.593
24,7.766,1.611
25,8.166,1.627
26,8.566,1.643
27,8.966,1.657
28,9.366,1.675
29,9.766,1.691
30,10.166,1.708
31,10.566,1.729
32,10.966,1.744
33,11.366,1.774
34,11.766,1.794
35,12.166,1.806
36,12.566,1.829
37,12.966,1.849
38,13.366,1.874
39,13.766,1.898
40,14.166,1.925
41,14.566,1.955
42,14.966,1.989
43,15.366,2.013
44,15.766,2.049
45,16.166,2.092
46,16.566,2.138
47,16.966,2.187
48,17.366,2.244
49,17.766,2.278
50,18.166,2.336
51,18.566,2.443
52,18.966,2.533
53,19.366,2.646
54,19.766,2.787
55,20,2.945
56,20.01,2.947
57,20.049,2.972
58,20.117,3.024
59,20.221,3.095
60,20.368,3.202
61,20.549,3.578
62,20.559,3.599
63,20.599,3.732
64,20.65,3.923
65,20.695,4.265
66,20.705,4.394
67,20.715,4.511
68,20.725,4.629
69,20.738,4.798
70,20.751,4.967
71,20.764,5.098
72,20.774,5.204
73,20.787,5.297
74,20.797,5.369
75,20.81,5.455
76,20.82,5.462
77,20.833,5.563
78,20.843,5.626
79,20.853,5.638
80,20.866,5.715
81,20.876,5.775
82,20.887,5.817
83,20.897,5.854
84,20.908,5.881
85,20.921,5.931
86,20.931,5.938
87,20.944,5.996
88,20.954,6.006
89,20.967,6.06
90,20.977,6.072
91,20.99,6.123
92,21,6.13
93,21.013,6.18
94,21.023,6.189
95,21.036,6.241
96,21.046,6.249
97,21.059,6.288
98,21.069,6.296
99,21.082,6.306
100,21.106,6.373
101,21.116,6.407
102,21.14,6.415
103,21.187,6.499
104,21.197,6.546
105,21.229,6.597
106,21.265,6.645
107,21.275,6.655
108,21.311,6.714
109,21.321,6.754
110,21.353,6.759
111,21.389,6.825
112,21.409,6.867
113,21.421,6.874
114,21.457,6.886
115,21.525,6.97
116,21.537,7.012
117,21.58,7.021
118,21.628,7.089
119,21.646,7.108
120,21.694,7.151
121,21.771,7.218
122,21.804,7.261
123,21.832,7.297
124,21.909,7.341
125,21.933,7.351
126,22.01,7.412
127,22.038,7.453
128,22.115,7.461
129,22.264,7.572
130,22.29,7.631
131,22.32,7.668
132,22.359,7.69
133,22.434,7.738
134,22.456,7.766
135,22.531,7.773
136,22.675,7.873
137,22.711,7.934
138,22.742,7.942
139,22.843,8.012
140,22.875,8.063
141,22.934,8.072
142,23.035,8.154
143,23.06,8.2
144,23.153,8.257
145,23.188,8.303
146,23.232,8.33
147,23.325,8.386
148,23.368,8.437
149,23.411,8.481
150,23.443,8.515
151,23.536,8.577
152,23.56,8.613
153,23.653,8.677
154,23.689,8.733
155,23.726,8.771
156,23.819,8.845
157,23.852,8.894
158,23.897,8.947
159,23.933,8.993
160,24.026,9.078
161,24.051,9.121
162,24.144,9.212
163,24.179,9.271
164,24.226,9.332
165,24.291,9.392
166,24.384,9.502
167,24.401,9.551
168,24.46,9.627
169,24.541,9.714
170,24.649,9.846
171,24.771,10.001
172,24.899,10.12
173,24.921,10.158
174,25.009,10.214
175,25.156,10.344
176,25.323,10.445
177,25.39,10.486
178,25.557,10.542
179,25.808,10.64
180,26.128,10.715
181,26.528,10.88
182,26.736,10.916
183,27.136,11.001
184,27.509,11.057
185,27.909,11.094
186,28.309,11.168
187,28.709,11.204
188,29.109,11.239
189,29.509,11.287
190,29.909,11.309
191,30.309,11.339
192,30.709,11.37
193,31.109,11.393
194,31.509,11.425
195,31.909,11.447
196,32.309,11.469
197,32.709,11.489
198,33.109,11.506
199,33.509,11.522
200,33.909,11.543
201,34.309,11.561
202,34.709,11.575
203,35.109,11.59
204,35.509,11.606
205,35.909,11.619
206,36.309,11.633
207,36.709,11.645
208,37.109,11.661
209,37.509,11.671
210,37.909,11.684
211,38.309,11.696
212,38.709,11.703
213,39.109,11.716
214,39.509,11.723
215,39.909,11.737
216,40,11.739
