Row Data #,Volume (mL),E(pH)
001,0.000,9.220
002,0.010,9.220
003,0.049,9.434
004,0.059,9.468
005,0.090,9.600
006,0.100,9.619
007,0.131,9.726
008,0.141,9.739
009,0.172,9.826
010,0.187,9.833
011,0.218,9.919
012,0.259,9.933
013,0.335,10.096
014,0.351,10.124
015,0.415,10.221
016,0.448,10.232
017,0.524,10.328
018,0.556,10.338
019,0.632,10.428
020,0.664,10.453
021,0.740,10.498
022,0.861,10.572
023,1.030,10.644
024,1.268,10.692
025,1.640,10.868
026,1.700,10.897
027,1.940,10.932
028,2.340,11.042
029,2.740,11.114
030,3.140,11.169
031,3.540,11.224
032,3.904,11.253
033,4.304,11.306
034,4.704,11.336
035,5.104,11.382
036,5.504,11.393
037,5.904,11.428
038,6.304,11.457
039,6.704,11.483
040,7.104,11.494
041,7.504,11.529
042,7.904,11.559
043,8.304,11.575
044,8.704,11.593
045,9.104,11.599
046,9.504,11.613
047,9.904,11.641
048,10.304,11.655
049,10.704,11.662
050,11.104,11.674
051,11.504,11.690
052,11.904,11.706
053,12.304,11.718
054,12.704,11.734
055,13.104,11.743
056,13.504,11.761
057,13.904,11.767
058,14.304,11.771
059,14.704,11.785
060,15.104,11.794
061,15.504,11.805
062,15.904,11.811
063,16.304,11.820
064,16.704,11.833
065,17.104,11.840
066,17.504,11.849
067,17.904,11.854
068,18.304,11.863
069,18.704,11.868
070,19.104,11.874
071,19.504,11.886
072,19.904,11.892
073,20.000,11.896
