Row Data #,Volume (mL),E(pH)
1,0,2.655
2,0.01,2.654
3,0.049,2.663
4,0.124,2.673
5,0.267,2.755
6,0.46,2.802
7,0.764,3.065
8,0.789,3.099
9,0.889,3.25
10,0.93,3.256
11,1.043,3.547
12,1.053,3.581
13,1.093,3.669
14,1.154,4.025
15,1.164,4.152
16,1.174,4.251
17,1.184,4.35
18,1.194,4.455
19,1.207,4.599
20,1.217,4.725
21,1.227,4.741
22,1.24,4.914
23,1.25,5.023
24,1.26,5.088
25,1.27,5.119
26,1.282,5.209
27,1.292,5.264
28,1.302,5.317
29,1.312,5.354
30,1.322,5.404
31,1.332,5.411
32,1.344,5.46
33,1.354,5.475
34,1.366,5.531
35,1.376,5.574
36,1.386,5.583
37,1.398,5.629
38,1.408,5.66
39,1.418,5.666
40,1.43,5.703
41,1.44,5.737
42,1.45,5.744
43,1.462,5.776
44,1.472,5.789
45,1.484,5.821
46,1.494,5.832
47,1.506,5.861
48,1.516,5.873
49,1.528,5.889
50,1.551,5.926
51,1.561,5.949
52,1.584,5.955
53,1.629,6.009
54,1.639,6.062
55,1.659,6.089
56,1.691,6.105
57,1.751,6.166
58,1.764,6.213
59,1.791,6.222
60,1.838,6.274
61,1.852,6.311
62,1.876,6.318
63,1.923,6.323
64,2.016,6.408
65,2.032,6.469
66,2.051,6.479
67,2.096,6.518
68,2.108,6.55
69,2.153,6.556
70,2.241,6.6
71,2.277,6.654
72,2.306,6.693
73,2.357,6.71
74,2.445,6.773
75,2.471,6.82
76,2.519,6.831
77,2.607,6.875
78,2.635,6.92
79,2.682,6.934
80,2.77,6.971
81,2.784,7.001
82,2.838,7.009
83,2.918,7.038
84,2.962,7.048
85,3.042,7.075
86,3.181,7.091
87,3.435,7.136
88,3.512,7.194
89,3.593,7.234
90,3.664,7.272
91,3.705,7.29
92,3.869,7.393
93,3.889,7.609
94,3.899,7.882
95,3.909,8.141
96,3.919,8.437
97,3.929,8.652
98,3.939,8.822
99,3.949,8.931
100,3.959,9.042
101,3.969,9.123
102,3.979,9.202
103,3.979,9.22
104,3.989,9.22
105,4.028,9.434
106,4.038,9.468
107,4.069,9.6
108,4.079,9.619
109,4.11,9.726
110,4.12,9.739
111,4.151,9.826
112,4.166,9.833
113,4.197,9.919
114,4.238,9.933
115,4.314,10.096
116,4.33,10.124
117,4.394,10.221
118,4.427,10.232
119,4.503,10.328
120,4.535,10.338
121,4.611,10.428
122,4.643,10.453
123,4.719,10.498
124,4.84,10.572
125,5.009,10.644
126,5.247,10.692
127,5.619,10.868
128,5.679,10.897
129,5.919,10.932
130,6.319,11.042
131,6.719,11.114
132,7.119,11.169
133,7.519,11.224
134,7.883,11.253
135,8.283,11.306
136,8.683,11.336
137,9.083,11.382
138,9.483,11.393
139,9.883,11.428
140,10.283,11.457
141,10.683,11.483
142,11.083,11.494
143,11.483,11.529
144,11.883,11.559
145,12.283,11.575
146,12.683,11.593
147,13.083,11.599
148,13.483,11.613
149,13.883,11.641
150,14.283,11.655
151,14.683,11.662
152,15.083,11.674
153,15.483,11.69
154,15.883,11.706
155,16.283,11.718
156,16.683,11.734
157,17.083,11.743
158,17.483,11.761
159,17.883,11.767
160,18.283,11.771
161,18.683,11.785
162,19.083,11.794
163,19.483,11.805
164,19.883,11.811
165,20.283,11.82
166,20.683,11.833
167,21.083,11.84
168,21.483,11.849
169,21.883,11.854
170,22.283,11.863
171,22.683,11.868
172,23.083,11.874
173,23.483,11.886
174,23.883,11.892
175,23.979,11.896
