Row Data #,Volume (mL),E(pH)
001,0.000,1.671
002,0.010,1.675
003,0.049,1.676
004,0.128,1.676
005,0.285,1.680
006,0.594,1.687
007,0.994,1.697
008,1.394,1.722
009,1.794,1.741
010,2.194,1.752
011,2.594,1.802
012,2.994,1.814
013,3.394,1.838
014,3.794,1.881
015,4.194,1.890
016,4.594,1.939
017,4.994,1.950
018,5.394,1.982
019,5.794,2.040
020,6.194,2.080
021,6.594,2.122
022,6.994,2.139
023,7.394,2.220
024,7.794,2.281
025,8.194,2.342
026,8.594,2.416
027,8.994,2.522
028,9.289,2.576
029,9.689,2.770
030,10.006,2.949
031,10.100,3.024
032,10.317,3.267
033,10.454,3.517
034,10.478,3.595
035,10.531,3.775
036,10.564,3.829
037,10.614,4.408
038,10.624,4.571
039,10.634,4.700
040,10.644,4.827
041,10.654,4.928
042,10.664,5.019
043,10.674,5.100
044,10.684,5.171
045,10.694,5.242
046,10.704,5.256
047,10.714,5.347
048,10.724,5.357
049,10.734,5.428
050,10.744,5.471
051,10.754,5.482
052,10.764,5.522
053,10.774,5.535
054,10.784,5.565
055,10.794,5.572
056,10.804,5.585
057,10.823,5.597
058,10.859,5.607
059,10.927,5.656
060,10.977,5.672
061,11.045,5.707
062,11.078,5.715
063,11.146,5.749
064,11.174,5.757
065,11.242,5.766
066,11.372,5.809
067,11.411,5.828
068,11.541,5.838
069,11.787,5.908
070,11.857,5.955
071,11.974,6.002
072,12.107,6.041
073,12.249,6.053
074,12.495,6.126
075,12.576,6.176
076,12.717,6.208
077,12.899,6.219
078,13.145,7.123
079,13.155,7.729
080,13.165,8.192
081,13.175,8.621
082,13.185,8.871
083,13.195,9.015
084,13.205,9.109
085,13.215,9.195
086,13.225,9.198
