Row Data #,Volume (mL),E(pH),
1,13.225,9.28,13.225
2,13.235,9.286,13.235
3,13.272,9.522,13.272
4,13.282,9.529,13.282
5,13.308,9.662,13.308
6,13.325,9.719,13.325
7,13.351,9.795,13.351
8,13.373,9.805,13.373
9,13.399,9.914,13.399
10,13.423,9.964,13.423
11,13.449,10.013,13.449
12,13.49,10.085,13.49
13,13.548,10.112,13.548
14,13.648,10.273,13.648
15,13.751,10.39,13.751
16,13.873,10.474,13.873
17,14.037,10.577,14.037
18,14.242,10.679,14.242
19,14.499,10.781,14.499
20,14.821,10.884,14.821
21,15.221,10.983,15.221
22,15.621,11.057,15.621
23,16.021,11.125,16.021
24,16.421,11.179,16.421
25,16.821,11.23,16.821
26,17.221,11.279,17.221
27,17.621,11.314,17.621
28,18.021,11.321,18.021
29,18.421,11.383,18.421
30,18.821,11.402,18.821
31,19.221,11.428,19.221
32,19.621,11.452,19.621
33,20.021,11.476,20.021
34,20.421,11.495,20.421
35,20.821,11.523,20.821
36,21.221,11.541,21.221
37,21.621,11.564,21.621
38,22.021,11.582,22.021
39,22.421,11.599,22.421
40,22.821,11.614,22.821
41,23.221,11.634,23.221
42,23.621,11.65,23.621
43,24.021,11.661,24.021
44,24.421,11.676,24.421
45,24.821,11.687,24.821
46,25.221,11.701,25.221
47,25.621,11.714,25.621
48,26.021,11.724,26.021
49,26.421,11.734,26.421
50,26.821,11.748,26.821
51,27.221,11.759,27.221
52,27.621,11.767,27.621
53,28.021,11.778,28.021
54,28.421,11.788,28.421
55,28.821,11.794,28.821
56,29.221,11.806,29.221
57,29.621,11.811,29.621
58,30.021,11.825,30.021
59,30.421,11.83,30.421
60,30.821,11.84,30.821
61,31.221,11.847,31.221
62,31.621,11.853,31.621
63,32.021,11.86,32.021
64,32.421,11.87,32.421
65,32.821,11.876,32.821
66,33.221,11.884,33.221
67,33.225,11.887,33.225
