Row Data #,Volume (mL),E(pH)
1,0,1.671
2,0.01,1.675
3,0.049,1.676
4,0.128,1.676
5,0.285,1.68
6,0.594,1.687
7,0.994,1.697
8,1.394,1.722
9,1.794,1.741
10,2.194,1.752
11,2.594,1.802
12,2.994,1.814
13,3.394,1.838
14,3.794,1.881
15,4.194,1.89
16,4.594,1.939
17,4.994,1.95
18,5.394,1.982
19,5.794,2.04
20,6.194,2.08
21,6.594,2.122
22,6.994,2.139
23,7.394,2.22
24,7.794,2.281
25,8.194,2.342
26,8.594,2.416
27,8.994,2.522
28,9.289,2.576
29,9.689,2.77
30,10.006,2.949
31,10.1,3.024
32,10.317,3.267
33,10.454,3.517
34,10.478,3.595
35,10.531,3.775
36,10.564,3.829
37,10.614,4.408
38,10.624,4.571
39,10.634,4.7
40,10.644,4.827
41,10.654,4.928
42,10.664,5.019
43,10.674,5.1
44,10.684,5.171
45,10.694,5.242
46,10.704,5.256
47,10.714,5.347
48,10.724,5.357
49,10.734,5.428
50,10.744,5.471
51,10.754,5.482
52,10.764,5.522
53,10.774,5.535
54,10.784,5.565
55,10.794,5.572
56,10.804,5.585
57,10.823,5.597
58,10.859,5.607
59,10.927,5.656
60,10.977,5.672
61,11.045,5.707
62,11.078,5.715
63,11.146,5.749
64,11.174,5.757
65,11.242,5.766
66,11.372,5.809
67,11.411,5.828
68,11.541,5.838
69,11.787,5.908
70,11.857,5.955
71,11.974,6.002
72,12.107,6.041
73,12.249,6.053
74,12.495,6.126
75,12.576,6.176
76,12.717,6.208
77,12.899,6.219
78,13.145,7.123
79,13.155,7.729
80,13.165,8.192
81,13.175,8.621
82,13.185,8.871
83,13.195,9.015
84,13.205,9.109
85,13.215,9.195
86,13.225,9.28
87,13.235,9.286
88,13.272,9.522
89,13.282,9.529
90,13.308,9.662
91,13.325,9.719
92,13.351,9.795
93,13.373,9.805
94,13.399,9.914
95,13.423,9.964
96,13.449,10.013
97,13.49,10.085
98,13.548,10.112
99,13.648,10.273
100,13.751,10.39
101,13.873,10.474
102,14.037,10.577
103,14.242,10.679
104,14.499,10.781
105,14.821,10.884
106,15.221,10.983
107,15.621,11.057
108,16.021,11.125
109,16.421,11.179
110,16.821,11.23
111,17.221,11.279
112,17.621,11.314
113,18.021,11.321
114,18.421,11.383
115,18.821,11.402
116,19.221,11.428
117,19.621,11.452
118,20.021,11.476
119,20.421,11.495
120,20.821,11.523
121,21.221,11.541
122,21.621,11.564
123,22.021,11.582
124,22.421,11.599
125,22.821,11.614
126,23.221,11.634
127,23.621,11.65
128,24.021,11.661
129,24.421,11.676
130,24.821,11.687
131,25.221,11.701
132,25.621,11.714
133,26.021,11.724
134,26.421,11.734
135,26.821,11.748
136,27.221,11.759
137,27.621,11.767
138,28.021,11.778
139,28.421,11.788
140,28.821,11.794
141,29.221,11.806
142,29.621,11.811
143,30.021,11.825
144,30.421,11.83
145,30.821,11.84
146,31.221,11.847
147,31.621,11.853
148,32.021,11.86
149,32.421,11.87
150,32.821,11.876
151,33.221,11.884
152,33.225,11.887
